CId,CNo
110,12857
109068,25749
58061,676735
103902,683632
23571,5371661
40383,5463502
41409,6060701
102960,6684408
89476,6692810
79220,6925446
5300,7059183
18866,7059380
114851,7060596
92080,7060852
89878,7065236
18498,7066981
87616,7068044
26087,7275722
106535,7277947
43527,7279331
28146,7285623
29814,7287138
18944,7288757
148,7289301
99861,7293861
74757,7295548
5156,7301716
73048,7303591
20382,7407488
75705,7574655
67089,7638841
7993,7642345
31236,7642569
38395,200398265
65867,201149913
496,201152461
128389,202168385
89385,11705
91784,1403519
106544,2874421
87338,3425264
59355,5370252
4900,5466526
45307,6688898
74775,6690458
118185,6741009
92235,7058822
64590,7063962
35820,7064423
49855,7066298
119517,7068432
99786,7136659
103357,7275744
12046,7281854
15727,7295357
97419,7298087
100446,7298679
20735,7299495
114503,7299724
24347,7302112
30970,7305969
88666,7630004
1238,7637877
463,7641865
85349,200252813
75120,200464077
91141,201060842
79361,201120465
80451,201142499
104880,201168551
122484,201207560
31680,678025
43588,2766035
80898,5467143
19325,6683489
85119,6685240
55202,6685337
68609,6688073
49869,7064179
108578,7065828
53620,7066841
61766,7280174
108594,7286483
4929,7288081
120063,7288896
43741,7291611
108628,7303176
23706,7405479
109013,7639006
51622,7639284
49449,7642749
116882,200510529
34275,201029372
98271,201191374
121812,201253552
122838,201382997
129107,202249593
41265,1319950
8932,5370862
19669,5465102
60562,6689910
1025,7059941
3226,7060576
81312,7061505
51433,7061814
104317,7063535
84542,7063715
72546,7281410
23455,7282743
65905,7290426
26787,7294849
108738,7300556
61867,7302205
53576,7306262
83033,7561500
20268,7642158
36706,200469058
120668,201225197
128265,202120805
129620,202436227
31285,83040
54676,766262
108223,5371958
34569,6584502
3352,6683609
13207,6687566
46306,7060308
100836,7063649
109517,7064620
41913,7066884
34713,7069578
110842,7274618
26128,7282009
35988,7282101
74826,7286836
2821,7287564
68471,7294341
12998,7299075
46608,7302211
11393,7303850
29942,7304225
112269,7305267
15296,7329496
32560,7642216
27471,200256550
45054,201111515
120645,201248332
128353,202165604
129002,202247169
129488,202432100
29630,678624
21058,681274
108249,683862
80644,1107284
2711,5465697
16283,5466751
