,Unnamed: 0,hourBeginning,Actual_MW,zone,zone_short,load_type,zone_loadtype,WT_Fcst_MW,QA_Fcst_MW
0,0,2020-05-01 23:00:00-04:00,347.681,4004,CT,CI,CT_CI,377.65,416.122554298408
1,1,2020-05-01 20:00:00-04:00,410.714,4004,CT,CI,CT_CI,469.89,481.88360558452695
2,2,2020-05-01 19:00:00-04:00,413.45,4004,CT,CI,CT_CI,486.45,492.4812207861201
3,3,2020-05-01 18:00:00-04:00,417.353,4004,CT,CI,CT_CI,487.95,522.417665046009
4,4,2020-05-01 17:00:00-04:00,437.725,4004,CT,CI,CT_CI,505.4,551.976614004938
5,5,2020-05-01 16:00:00-04:00,446.41,4004,CT,CI,CT_CI,527.0,575.150174283837
6,6,2020-05-01 15:00:00-04:00,464.376,4004,CT,CI,CT_CI,540.41,591.795877723476
7,7,2020-05-01 14:00:00-04:00,479.316,4004,CT,CI,CT_CI,563.5,604.654566158958
8,8,2020-05-01 13:00:00-04:00,485.112,4004,CT,CI,CT_CI,586.19,611.463240542112
9,9,2020-05-01 12:00:00-04:00,489.216,4004,CT,CI,CT_CI,580.95,609.7560621288101
10,10,2020-05-01 22:00:00-04:00,362.474,4004,CT,CI,CT_CI,401.16,442.460703036006
11,11,2020-05-01 11:00:00-04:00,499.966,4004,CT,CI,CT_CI,577.01,607.260782441361
12,12,2020-05-01 09:00:00-04:00,469.852,4004,CT,CI,CT_CI,560.68,558.829257300893
13,13,2020-05-01 08:00:00-04:00,448.407,4004,CT,CI,CT_CI,533.82,516.305886291711
14,14,2020-05-01 07:00:00-04:00,424.479,4004,CT,CI,CT_CI,503.48,472.571552785383
15,15,2020-05-01 06:00:00-04:00,404.422,4004,CT,CI,CT_CI,486.27,427.54910736826497
16,16,2020-05-01 05:00:00-04:00,380.274,4004,CT,CI,CT_CI,435.75,402.991756904412
17,17,2020-05-01 04:00:00-04:00,365.681,4004,CT,CI,CT_CI,418.27,391.315366034236
18,18,2020-05-01 03:00:00-04:00,367.194,4004,CT,CI,CT_CI,403.74,385.447569975802
19,19,2020-05-01 02:00:00-04:00,364.839,4004,CT,CI,CT_CI,389.14,387.67271767663897
20,20,2020-05-01 01:00:00-04:00,365.963,4004,CT,CI,CT_CI,386.82,396.362131616842
21,21,2020-05-01 00:00:00-04:00,365.355,4004,CT,CI,CT_CI,379.97,408.9855110269349
22,22,2020-05-01 10:00:00-04:00,488.165,4004,CT,CI,CT_CI,578.77,591.93236326587
23,23,2020-05-01 21:00:00-04:00,382.717,4004,CT,CI,CT_CI,426.79,467.204905785259
24,24,2020-05-02 20:00:00-04:00,361.732,4004,CT,CI,CT_CI,392.08,410.244357047351
25,25,2020-05-02 00:00:00-04:00,342.964,4004,CT,CI,CT_CI,373.38,400.411807409132
26,26,2020-05-02 18:00:00-04:00,344.992,4004,CT,CI,CT_CI,383.79,406.34920153057794
