AId,ANo,BId,GId
300,10308537,784955,186
406,10308643,784955,292
412,10308649,784955,298
784,10309021,784955,670
787,10309024,784955,673
842,10309079,784955,728
1030,10309267,784955,916
1034,10309271,784955,920
1064,10309301,784955,950
1156,10309393,784955,1042
1163,10309400,784955,1049
1489,10307955,472375,147
1752,10308033,333665,107
1772,10308053,333665,127
1826,10308107,333665,181
1974,10308255,798936,329
2349,10309552,785000,3
2386,10309589,785037,40
2682,10310407,785555,88
2778,10310492,785639,54
2945,10310074,843171,205
2962,10309840,785269,1
3151,10369204,785829,5
3582,10368728,785824,374
3706,10368852,785824,498
4107,10369397,786013,2
4848,10370091,786705,60
5188,10368274,128821,19
5337,10370453,787024,62
5552,10368001,428765,48
5845,10370764,787341,1
5880,10370790,787366,1
5884,10370757,787334,2
5895,10367739,788043,32
5930,10370643,787219,56
6152,10370683,787259,96
6476,10371201,787784,6
6695,3236326,262015,73
6820,3777977,686931,8
7184,7131147,130491,1
7539,2738498,317247,3
7594,3166261,238795,8
7796,4392189,129693,295
8008,7137422,218916,11
8126,7135816,550185,31
8127,7135818,550187,33
8132,7138222,392128,25
8809,4848902,592725,4
8915,4985295,687061,138
8986,1625156,390256,3
9113,3366128,249505,110
9434,6467349,434942,41
11125,7135804,550173,19
11201,7136572,625449,11
11636,7137487,249963,6
11694,7141124,106314,10
12057,3777955,129232,15
12102,4985465,687230,307
12117,4354910,629425,161
12191,4999737,365141,20
12711,8712557,338891,95
12725,9924828,354550,2320
12914,8713459,700253,26
13052,8714244,250292,54
13139,8717722,392443,142
14419,8726646,399713,6795
14455,8726946,399713,7095
14496,8727282,399714,7431
15024,8714344,250384,146
15062,8715612,577271,80
15138,8713999,424365,3
15219,8718379,633647,42
15242,8718554,633647,217
15260,8718713,633647,376
15262,8718722,633628,385
15332,8713797,282680,103
15404,8719649,266472,137
15531,8716207,715284,6
15583,8720258,399714,411
15588,8720292,399713,445
15855,8722430,399712,2583
16012,8723702,399712,3855
16175,8712651,26420,223
16264,8713352,540450,29
16331,8716427,204629,2
16684,8725329,399712,5480
16699,8725440,399713,5591
16774,8726067,399712,6216
17070,7139526,467416,7
17148,7212219,2517,17
17463,7216806,299063,31
18113,8714138,163855,61
18248,8719049,261265,262
18553,7209384,26831,8
19109,7211790,68417,454
19337,7202891,552688,10
19509,7211690,329680,0
19885,7205529,574025,2106
19928,7201785,336368,19
20244,8721625,399714,1778
20287,8721975,399713,2128
20666,9924891,354612,2382
20946,8716722,33618,180
21131,7209888,81708,22
21629,8715311,338660,60
21926,8718201,723512,102
22084,7216323,242360,17
22124,7205727,546559,54
22142,7216893,533883,0
22802,8722181,399713,2334
22846,8722524,399714,2677
23034,8724035,399713,4188
23038,8724067,399712,4220
23133,7205144,68386,423
23424,7206078,494705,9
23604,7199790,585642,0
23667,7205474,595385,0
23799,7212258,364993,19
23839,7205263,462731,58
24220,8712994,766385,55
24631,8897203,473310,0
24796,10024534,150849,0
24816,10165920,612309,24
25022,8725351,399714,5502
25060,8725651,399712,5800
25322,8727756,399712,7905
25695,8730106,579249,6
25796,8718306,723611,201
25941,8724739,399712,4890
26376,3563292,46,6
27393,9923392,760051,6
27537,8720897,399713,1050
27645,8721735,399714,1888
27894,8723754,399714,3907
27979,8703150,251907,0
28002,8792628,703069,5
28569,8166997,3249,23
28598,8299257,418880,3239
29057,8725879,399713,6028
29088,8726145,399714,6294
29600,10148037,469076,176
29729,8715831,627569,56
29853,8976969,299166,134
30379,8715253,338602,2
30720,8713849,322113,1
30761,8719974,399714,127
30899,7214006,137867,53
31455,9209208,633647,424
31807,7207765,540468,5
32021,7203635,53533,1
32176,7209076,275781,97
32305,8720476,399713,629
32409,8721310,399714,1463
32417,8721376,399714,1529
