AAId,AId,BId,RId,SId,Date
1489,713904,null,2,1,6/17/19
463,1489,null,2,1,6/17/19
471,592402,null,1,1,6/17/19
496,67083,null,1,1,6/17/19
833,223040,null,1,1,6/17/19
1088,56871,null,1,1,6/17/19
1238,702971,null,2,1,6/17/19
1342,169035,null,2,1,6/17/19
1580,575562,null,2,1,6/2/19
1591,723357,null,2,1,6/2/19
1645,166782,null,1,1,6/2/19
1829,684045,null,2,1,6/17/19
1959,358409,null,2,1,6/2/19
2122,229731,null,1,1,6/2/19
2142,709310,null,2,1,6/2/19
2366,286659,null,1,1,6/2/19
2659,605734,null,3,1,6/17/19
2866,125464,null,1,1,6/17/19
3175,764526,null,1,1,6/17/19
3749,666554,null,3,1,6/17/19
3794,591980,null,1,1,6/17/19
3918,794940,null,1,1,6/2/19
3997,791324,null,1,1,6/2/19
4101,226460,null,1,1,6/2/19
4519,169482,null,1,1,6/2/19
4818,162420,null,1,1,5/25/19
4900,345309,null,2,1,5/25/19
4935,607449,null,3,1,6/2/19
5156,371056,null,2,1,5/25/19
5300,286648,null,1,1,5/25/19
5518,226507,null,1,1,5/25/19
5803,258413,null,2,1,5/25/19
6336,385641,null,1,1,5/29/19
6357,624739,null,2,1,6/18/19
6397,146072,null,2,1,5/29/19
6466,136588,null,1,1,5/29/19
6620,230468,null,2,1,6/18/19
6654,827733,null,1,1,6/17/19
6658,760496,null,1,1,6/17/19
7240,306222,null,2,1,6/18/19
7253,20592,null,1,1,6/18/19
7340,762873,null,2,1,6/2/19
7554,685974,null,2,1,5/25/19
7754,146076,null,2,1,6/18/19
7833,21791,null,1,1,6/18/19
7880,15194,null,1,1,5/29/19
7982,722401,null,2,1,5/30/19
7993,601506,null,3,1,5/30/19
8086,229754,null,1,1,5/29/19
8389,37104,null,2,1,4/29/19
8592,20591,null,1,1,5/30/19
8638,361848,null,1,1,6/17/19
9376,827790,null,1,1,6/17/19
9427,381475,null,2,1,5/30/19
9465,734223,null,2,1,5/30/19
9852,410152,null,1,1,5/29/19
9900,55211,null,1,1,5/29/19
10206,230114,null,1,1,5/30/19
10362,391564,null,1,1,5/29/19
10623,232686,null,1,1,5/29/19
10817,21264,null,2,1,4/29/19
11033,606921,null,3,1,4/29/19
11141,223101,null,1,1,6/18/19
11317,560135,null,1,1,5/25/19
11458,7525,null,2,1,5/30/19
11748,381598,null,2,1,5/29/19
11858,226491,null,1,1,5/29/19
12027,854804,null,1,1,6/17/19
12046,364386,null,2,1,5/30/19
12799,21791,null,1,1,5/29/19
12940,347369,null,1,1,5/25/19
13285,685972,null,2,1,4/29/19
13289,92972,null,1,1,4/29/19
13623,760727,null,1,1,6/17/19
13832,352605,null,1,1,6/18/19
13840,375206,null,1,1,6/18/19
14450,230161,null,1,1,4/29/19
14570,143830,null,2,1,5/29/19
14832,226491,null,1,1,4/29/19
15447,794945,null,1,1,6/17/19
15619,343648,null,1,1,5/30/19
15727,856965,null,1,1,5/30/19
15790,226527,null,1,1,4/29/19
