,Unnamed: 0,hourBeginning,Actual_MW,zone,zone_short,load_type,zone_loadtype,WT_Fcst_MW,QA_Fcst_MW,date,cloud_free,sun_frac,eff_cloud,output
0,0,2020-05-01 23:00:00-04:00,347.681,4004,CT,CI,CT_CI,377.65,416.122554298408,2020-05-01 23:00:00,-0.0,0.0,0.0,-0.0
1,1,2020-05-01 20:00:00-04:00,410.714,4004,CT,CI,CT_CI,469.89,481.88360558452695,2020-05-01 20:00:00,-0.0,0.0,0.0,-0.0
2,2,2020-05-01 19:00:00-04:00,413.45,4004,CT,CI,CT_CI,486.45,492.4812207861201,2020-05-01 19:00:00,0.0,0.2,0.2,0.0
3,3,2020-05-01 18:00:00-04:00,417.353,4004,CT,CI,CT_CI,487.95,522.417665046009,2020-05-01 18:00:00,0.103576365065958,0.9,0.9,0.0932187285593622
4,4,2020-05-01 17:00:00-04:00,437.725,4004,CT,CI,CT_CI,505.4,551.976614004938,2020-05-01 17:00:00,0.2864531108715841,0.3,0.3,0.0859359332614752
5,5,2020-05-01 16:00:00-04:00,446.41,4004,CT,CI,CT_CI,527.0,575.150174283837,2020-05-01 16:00:00,0.4675617750521832,0.0,0.0,0.0
6,6,2020-05-01 15:00:00-04:00,464.376,4004,CT,CI,CT_CI,540.41,591.795877723476,2020-05-01 15:00:00,0.6188026481325121,0.0,0.0,0.0
7,7,2020-05-01 14:00:00-04:00,479.316,4004,CT,CI,CT_CI,563.5,604.654566158958,2020-05-01 14:00:00,0.724132490217507,0.0,0.0,0.0
8,8,2020-05-01 13:00:00-04:00,485.112,4004,CT,CI,CT_CI,586.19,611.463240542112,2020-05-01 13:00:00,0.7739694258012672,0.0,0.0,0.0
9,9,2020-05-01 12:00:00-04:00,489.216,4004,CT,CI,CT_CI,580.95,609.7560621288101,2020-05-01 12:00:00,0.7640417820474718,0.0,0.0,0.0
